T6SS_gene,COG_ID,Gene_Tag,Organism,TaxID,Assembly_ID,Protein_Accession,Protein_Length,Footprint,Footprint_Length,Profile_Length,Bitscore,Evalue,Membership_Class,Membership_Description,Taxonomic_Category
tssA,COG3515,A0U93_RS00850,Neoasaia_chiangmaiensis_NBRC_101099,320497,GCF_002005465.1,WP_077805694.1,378,1-378,378,346.0,71.4,1.48e-13,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,A4W93_RS12745,Rhizobacter_gummiphilus_NS21,946333,GCF_002116905.1,WP_085750961.1,342,1-342,342,346.0,109.0,8.74e-27,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,A6W98_RS19895,Rhodovulum_sulfidophilum_DSM_1374,1188256,GCF_001633165.1,WP_042465882.1,448,1-357,357,346.0,48.7,5.13e-06,1,footprint covers most of the COG profile and most part of the protein,ALPHAPROTEOBACTERIA
tssA,COG3515,A8O29_RS00380,Scandinavium_goeteborgense_CCUG_66741,1851514,GCF_003935895.2,WP_125354376.1,531,1-343,343,346.0,81.8,8.72e-17,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,A8O29_RS00415,Scandinavium_goeteborgense_CCUG_66741,1851514,GCF_003935895.2,WP_125354383.1,449,1-292,292,346.0,87.2,1.21e-18,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,A8O29_RS17315,Scandinavium_goeteborgense_CCUG_66741,1851514,GCF_003935895.2,WP_125353497.1,460,1-302,302,346.0,84.5,8.69e-18,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,A8O29_RS17345,Scandinavium_goeteborgense_CCUG_66741,1851514,GCF_003935895.2,WP_125353492.1,533,1-422,422,346.0,97.2,5.13e-22,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,AA2016_RS17920,Aminobacter_aminovorans_KCTC_2477,83263,GCF_001605015.1,WP_067962027.1,388,1-388,388,346.0,128.0,9.32e-34,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,AA314_RS18945,Archangium_gephyra_DSM_2261,48,GCF_001027285.1,WP_047856610.1,369,1-369,369,346.0,100.0,1.37e-23,0,footprint covers most of the protein and most of the COG profile,MYXOCOCCOTA
tssA,COG3515,AA314_RS41225,Archangium_gephyra_DSM_2261,48,GCF_001027285.1,WP_047859997.1,560,1-123,123,346.0,46.2,2.92e-05,3,partial match on both protein and COG profile,MYXOCOCCOTA
tssA,COG3515,AANAER_RS04935,Halarcobacter_anaerophilus_DSM_24636,877500,GCF_006459125.1,WP_164969374.1,504,1-117,117,346.0,50.2,1.7e-06,3,partial match on both protein and COG profile,CAMPYLOBACTEROTA
tssA,COG3515,AAW51_RS09270,Caldimonas_brevitalea_DSM_7029,413882,GCF_001017435.1,WP_047194386.1,364,1-364,364,346.0,115.0,5.02e-29,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,AAW51_RS10880,Caldimonas_brevitalea_DSM_7029,413882,GCF_001017435.1,WP_047194639.1,340,1-340,340,346.0,100.0,9.66e-24,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,ABE85_RS06495,Mitsuaria_7,1658665,GCF_001653795.1,WP_082938381.1,353,1-353,353,346.0,114.0,9.66e-29,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,ACAV_RS07460,Paracidovorax_avenae_ATCC_19860,643561,GCF_000176855.2,WP_013593958.1,349,1-349,349,346.0,99.9,1.86e-23,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,ACIX9_RS18935,Granulicella_tundricola_MP5ACTX9,1198114,GCF_000178975.2,WP_013572709.1,619,1-123,123,346.0,64.5,4.38e-11,3,partial match on both protein and COG profile,ACIDOBACTERIOTA
